Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
00:02:00.010000	6.9	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:32:17	2.0	2024-10-1308:32:17	1.0
00:04:00.019000	6.5	10.3	500.0	19.8	1.9	9.1	9.0	0.0	2024-10-1308:32:22	2.0	2024-10-1308:32:22	1.0
00:06:00.029000	6.4	10.3	500.0	19.8	1.9	9.1	9.0	0.1	2024-10-1308:32:27	2.0	2024-10-1308:32:27	1.0
00:08:00.038000	6.8	10.3	500.0	19.8	1.9	9.1	9.0	0.1	2024-10-1308:32:32	2.0	2024-10-1308:32:32	1.0
00:10:00.048000	6.9	10.3	500.0	19.8	1.9	9.1	9.0	0.1	2024-10-1308:32:37	2.0	2024-10-1308:32:37	1.0
00:12:00.058000	7.0	10.3	500.0	19.8	1.9	9.1	9.0	0.1	2024-10-1308:32:42	2.0	2024-10-1308:32:42	1.0
00:14:00.067000	7.0	10.3	500.0	19.8	1.9	9.1	9.0	0.1	2024-10-1308:32:47	2.0	2024-10-1308:32:47	1.0
00:16:00.077000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:32:52	2.0	2024-10-1308:32:52	1.0
00:18:00.086000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:32:57	2.0	2024-10-1308:32:57	1.0
00:20:00.096000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:02	2.0	2024-10-1308:33:02	1.0
00:22:00.106000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:07	2.0	2024-10-1308:33:07	1.0
00:24:00.115000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:12	2.0	2024-10-1308:33:12	1.0
00:26:00.125000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:17	2.0	2024-10-1308:33:17	1.0
00:28:00.134000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:22	2.0	2024-10-1308:33:22	1.0
00:30:00.144000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:27	2.0	2024-10-1308:33:27	1.0
00:32:00.154000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:32	2.0	2024-10-1308:33:32	1.0
00:34:00.163000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:37	2.0	2024-10-1308:33:37	1.0
00:36:00.173000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:42	2.0	2024-10-1308:33:42	1.0
00:38:00.182000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:47	2.0	2024-10-1308:33:47	1.0
00:40:00.192000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:52	2.0	2024-10-1308:33:52	1.0
00:42:00.202000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:33:57	2.0	2024-10-1308:33:57	1.0
00:44:00.211000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:02	2.0	2024-10-1308:34:02	1.0
00:46:00.221000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:07	2.0	2024-10-1308:34:07	1.0
00:48:00.230000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:12	2.0	2024-10-1308:34:12	1.0
00:50:00.240000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:17	2.0	2024-10-1308:34:17	1.0
00:52:00.250000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:22	2.0	2024-10-1308:34:22	1.0
00:54:00.259000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:27	2.0	2024-10-1308:34:27	1.0
00:56:00.269000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:32	2.0	2024-10-1308:34:32	1.0
00:58:00.278000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:37	2.0	2024-10-1308:34:37	1.0
01:00:00.288000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:42	2.0	2024-10-1308:34:42	1.0
01:02:00.298000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:47	2.0	2024-10-1308:34:47	1.0
01:04:00.307000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:52	2.0	2024-10-1308:34:52	1.0
01:06:00.317000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:34:57	2.0	2024-10-1308:34:57	1.0
01:08:00.326000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:02	2.0	2024-10-1308:35:02	1.0
01:10:00.336000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:07	2.0	2024-10-1308:35:07	1.0
01:12:00.346000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:12	2.0	2024-10-1308:35:12	1.0
01:14:00.355000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:17	2.0	2024-10-1308:35:17	1.0
01:16:00.365000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:22	2.0	2024-10-1308:35:22	1.0
01:18:00.374000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:27	2.0	2024-10-1308:35:27	1.0
01:20:00.384000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:32	2.0	2024-10-1308:35:32	1.0
01:22:00.394000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:37	2.0	2024-10-1308:35:37	1.0
01:24:00.403000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:42	2.0	2024-10-1308:35:42	1.0
01:26:00.413000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:47	2.0	2024-10-1308:35:47	1.0
01:28:00.422000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:52	2.0	2024-10-1308:35:52	1.0
01:30:00.432000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:35:57	2.0	2024-10-1308:35:57	1.0
01:32:00.442000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:36:02	2.0	2024-10-1308:36:02	1.0
01:34:00.451000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:36:07	2.0	2024-10-1308:36:07	1.0
01:36:00.461000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:36:12	2.0	2024-10-1308:36:12	1.0
01:38:00.470000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:36:17	2.0	2024-10-1308:36:17	1.0
01:40:00.480000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:36:22	2.0	2024-10-1308:36:22	1.0
01:42:00.490000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.1	2024-10-1308:36:27	2.0	2024-10-1308:36:27	1.0
01:44:00.499000	7.0	10.3	500.0	19.9	1.9	9.1	9.0	0.2	2024-10-1308:36:32	2.0	2024-10-1308:36:32	1.0
01:46:00.509000	7.1	10.3	500.0	19.9	1.9	9.1	9.0	0.4	2024-10-1308:36:37	2.0	2024-10-1308:36:37	1.0
